doc_id;text;llm_green_suggested;llm_confidence;llm_rationale;is_green_human;notes
9349230;"1. A system for implementing access control, comprising: a first communicating device that is configured to communicate with a plurality of access control checkpoint components at a plurality of access control checkpoints controlled by a first entity, each of the access control checkpoint components being used to gain access to at least one of an access-controlled space, access-controlled equipment and an access controlled device; a second communicating device that is configured to separately communicate with a plurality of access control databases, each one of the plurality of access control databases (1) being controlled by a second entity and (2) containing information maintained by the second entity for individual access verification, the second entity being a different entity from the first entity; an access resolution device that is configured to a message transmission device that is configured to send the generated data transmission to at least one receiving node.";0.0;high;The claim describes a system for implementing access control, which involves communication devices, databases, and message transmission. There is no mention of renewable energy, energy efficiency, emissions reduction, or any other green technology aspects. The focus is on access control and data transmission, which are general technological functions without an environmental purpose.;0;
9098212;"1. A computer system, which comprises a plurality of storage control apparatuses for providing a storage area to a computer, wherein each of the storage control apparatuses is mutually connected to the other storage control apparatuses, and each of the storage control apparatuses is configured to receive access commands from the computer, each of the storage control apparatuses comprising: a first logical storage area generated based on a physical storage area of a storage device managed by each relevant storage control apparatus of the plurality of storage control apparatuses; a virtually generated second logical storage area, which is associated with the first logical storage areas of the other storage control apparatuses; a pool for managing the first logical storage area and the second logical storage area: a plurality of virtual logical volumes virtually generated based on a logical storage area of the pool, the logical storage area having a specified size, which are assigned to either the first logical storage area or the second logical storage area each time new data is written by the computer: and a management unit configured to manage assignment management information for managing the logical storage area of the specified size assigned to a virtual logical volume of the plurality of virtual logical volumes, wherein each of the storage control apparatuses shares at least part of the assignment management information in common with the other storage control apparatuses, wherein the plurality of storage control apparatuses includes a first storage control apparatus and a second storage control apparatus configured to process the commands received from the computer, wherein, when the first storage control apparatus receives a read command for a virtual logical volume provided by the first storage control apparatus, the first storage control apparatus is configured to: wherein, when the second storage control apparatus receives the read command for a virtual logical volume provided by the second storage control apparatus, the second storage control apparatus is configured to: wherein each of the storage control apparatuses is configured to: wherein each of the storage control apparatuses is configured to:";0.0;high;The claim describes a computer system with storage control apparatuses and virtual logical volumes, but there is no mention of renewable energy, energy efficiency, emissions reduction, or any environmental benefits. The focus is on data management and storage systems, which are not related to green technology.;0;
8928812;"1. A system for controlling ambient light effects comprising: a receiving device including at least one processor programmed to parse incoming video content to detect at least one portion of the incoming video content and determine at least one ambient light effect to be associated with the at least one portion of the video content; a home automation controller in communication with the at least one processor; at least one lighting device in communication with at least one of the receiving device and the home automation controller; wherein the processor of the receiving device is programmed to send a command from the receiving device to the home automation controller, the command specifying the at least one ambient light effect determined by the at least one processor to be associated with the at least one portion of the video content; and wherein the at least one lighting device includes at least one hardware controller adapted to, after receiving the command from the home automation controller, to generate the at least one ambient light effect specified in the command when the at least one portion of the video content is displayed to a user.";0.0;high;The claim describes a system for controlling ambient light effects based on video content, which does not relate to renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on home automation and lighting control, which is general technology without an environmental purpose.;0;
8555926;"1. A supply manifold comprising: a housing having an inlet and an internal chamber for receiving a liquid; a plurality of valves disposed on respective outlets of the housing in a linear arrangement, each outlet being adapted to connect to a respective conduit for delivering the liquid to a respective zone, each of the plurality of valves controlling a flow of the liquid from the internal chamber into each respective conduit; a single actuator for individually actuating one of the valves; a first displacement mechanism for displacing the actuator along a longitudinal axis that is parallel to the linear arrangement of the valves to thereby access any one of the valves; and a second displacement mechanism for displacing the actuator orthogonally to the longitudinal axis to thereby cause engagement or disengagement of the actuator with a selected one of the valves for opening or closing, wherein each valve comprises a cross gear having four rounded receptacles for engaging a round bearing extending from the solenoid, the cross gear acting as an indexing mechanism to rotate the valve one quarter turn.";0.0;high;The claim describes a supply manifold with valves and actuation mechanisms, but there is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on mechanical control systems rather than environmental benefits.;0;
9809521;"1. A compound having the structure of Formula III: or a pharmaceutically acceptable salt, or prodrug thereof, wherein: X is independently either a C or N; R R R R wherein if X are carbon atoms and the bonds represented by a dash lines are doubly covalent bonds, then at least one of R";0.0;high;The claim describes a compound structure with no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on pharmaceutical chemistry with no environmental purpose indicated.;0;
8380927;"1. A controller supporting at least two different memory system configurations, including a first configuration in which one memory is used for memory access, and a second configuration in which two memories are used for memory access, the controller comprising: a first mode of operation, supporting the first memory system configuration, where the controller is configured to perform memory access with the one memory; a second mode of operation, supporting the second memory system configuration, where the controller is configured to perform memory access with the two memories; and logic to configure data width of each of the two memories in the second mode to be a limited subset of data width used in the first mode.";0.0;high;The claim describes a controller for memory system configurations, which is a general technology related to computer hardware. There is no mention of renewable energy, energy efficiency, emissions reduction, or any environmental benefits. The focus is on memory access and data width configuration, which does not align with the GREEN technology criteria.;0;
8685428;"1. A method comprising: (a) mixing everolimus with an aqueous buffer solution or water thereby forming a mixture of everolimus and the aqueous buffer solution or a mixture of everolimus and water; and (b) adding a surfactant to the mixture to form a composition, wherein an amount of everolimus being mixed with the aqueous buffer solution or water is between about 1 and 100 micrograms per milliliter of the buffer solution or water; wherein the surfactant is selected from a group consisting of a condensate of p-octylphenol with ethylene oxide, sodium dodecyl sulfate, and a polyoxyethylenesorbitan monooleate; whereby the surfactant forms micelles or vesicles which envelop everolimus molecules; wherein the micelles or vesicles consist of the surfactant, everolimus, and the aqueous buffer solution or water.";0.0;high;The claim describes a method for creating a composition with everolimus, a medication, and surfactants. There is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on pharmaceutical formulation rather than environmental benefits.;0;
8944642;"1. A light assembly comprising: a transparent main body including an interior chamber gradually expanding from bottom to top, an inner wall encircling the interior chamber, and an outer wall encircling the inner wall, wherein the outer wall is a total internal reflection surface and includes a plurality of circular plates; each two adjacent circular plates form an angle between 177° and 180° and the angle decreases from the top of the transparent main body to the bottom thereof; the inner wall includes a plurality of first facets facing a first direction and a plurality of second facets facing a second direction that is different from the first direction; the plurality of first facets and the plurality of second facets are provided to encircle the interior chamber respectively; either side of each of the first facets is connected to one of the second facets; each two adjacent first and second facets form an angle therebetween; the plurality of first facets are used to refract incident light toward the outer wall; the outer wall is used to reflect the light refracted by the plurality of first facets toward the plurality of second facets; and the plurality of the second facets are used to refract the light reflected by the outer wall toward a top end of the main body.";0.0;high;The claim describes a light assembly with total internal reflection and refractive elements, but there is no mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on optical design rather than environmental benefits.;0;
8788855;"1. A computer-readable storage medium configured with data and with instructions that when executed by at least one processor causes the processor(s) to perform a process for managing computational availability of a computational cluster which is operating at a current cluster computational capacity level, the process comprising the steps of: predicting demand for computational availability of the computational cluster based at least on a job queue length, the job queue length being the number of jobs in a job queue, each job comprising code which is subject to scheduling; determining that a threshold condition for switching the computational cluster to a different cluster computational capacity level is satisfied, the threshold condition based at least on the current cluster computational capacity level and the predicted demand; ascertaining whether switching the computational cluster to the different cluster computational capacity level will violate a stability constraint of the computational cluster, the stability constraint based at least on a history of cluster computational capacity level switches within a period of time which is not earlier than a specified history cutoff; and performing at least one of the following: (i) switching the computational cluster to the different cluster computational capacity level after determining that the threshold condition for switching is satisfied and ascertaining that switching the computational cluster to the different cluster computational capacity level will not violate the stability constraint, (ii) recommending to a user that the computational cluster be switched to the different cluster computational capacity level, (iii) recommending to a user that the computational cluster not be switched to the different cluster computational capacity level.";0.0;high;The claim describes a method for managing computational availability in a cluster, focusing on demand prediction, threshold conditions, and stability constraints. There is no mention of renewable energy, energy efficiency, emissions reduction, or any environmental benefits. The technology appears to be general computational management without an environmental purpose.;0;
9324203;"1. A system to activate a door keypad, the system comprising: a keypad associated with a door lock in a door, the keypad comprising keypad buttons, the keypad having an active state allowing activation of the keypad buttons and an inactive state prohibiting activation of the keypad buttons; at least one sensor configured to provide sensor data comprising an identity of a requestor requesting entry through the door; a door lock controller in communication with the keypad and the at least one sensor, the door lock controller configured to receive the sensor data, locally determine whether the identity is from an authorized user, activate the keypad buttons when the identity is from the authorized user, and receive from the keypad an access code when the keypad is activated; and a local receiver comprising a first antenna, a second antenna, and a radio frequency (RF) receiver and configured to wake up from an inactive state upon receiving the access code from the door lock controller, transmit with the first antenna a first message encoded with the access code via a first RF signal having a first frequency for propagation through a mesh network to a remotely located hub device which is configured to determine whether the access code is an authorized code, and return to the inactive state after transmitting the access code; and the local receiver further configured to detect with the second antenna an electromagnetic field generated by a presence of a carrier signal that is added to a powerline waveform, the carrier signal comprising a second RF signal having a second frequency different than the first frequency, the presence of the carrier signal indicating that a second message encoded with a door lock command using the second frequency is modulated onto a powerline the local receiver further configured to wake up the RF receiver from the inactive state upon detecting the electromagnetic field in order to receive with the first antenna a third message comprising correct a door lock command to control a state of the door lock when the access code is the authorized code, the local receiver electrically disconnected from the powerline.";0.0;high;The claim describes a system for activating a door keypad, which involves sensors, a door lock controller, and a local receiver with RF communication. There is no mention of renewable energy, energy efficiency, emissions reduction, or any environmental benefits. The focus is on access control and communication protocols, which are not related to green technology.;0;
9206114;"1. A compound having the formula: wherein n is a positive integer greater than 2; wherein X wherein R";0.0;high;The claim describes a compound formula without any mention of renewable energy, energy efficiency, storage, emissions reduction, carbon capture, recycling, waste/water treatment, or clean transport. The focus is on chemical structure rather than environmental benefits.;0;
